Services,Description,Date,Tender Number,Department,Tender Type,Province,Date published,Closing date,Place where service will be required,Special conditions,Contact person,Contact email,Contact phone,Contact fax,Briefing Session,Is briefing required,Briefing date and time,Briefing venue,Tender documents
Publishing activities,The construction of new buildings including alterations to existing structures at the engineering and asset management blomtuin depot in cape town,25/08/2023,33Q/2023/24,City of Cape Town,Request for Proposal,Western Cape,25.08.2023,04.10.2023,"2nd Floor (Concourse Level), Civic Centre, 12 Hertzog Boulevard, Cape Town. : - Cape Town - Western Cape - 8001","A non-refundable fee of R300 is required on collection of the tender document by Cash or EFT. CIDB grading contractor should have 6GB of higher. 
A compulsory site visit/clarification meeting will be conducted physically at: City of Cate Town, Engineering and Asset Management Blomtuin Depot, EAM Boardroom, First floor, 3 Blom Street, Blomtuin, Cape Town on Tuesday, 12 September 2023 at 11:00.

For technical quiries second person  - Pieter Rossouw contact via email at prossouw@eceng.co.za.",Berend Jager,Berend.Jager@capetown.gov.za,021-400-3006,000-000-0000,Yes,Yes,"Tuesday, 12 September 2023 - 11:00","City of Cate Town, Engineering and Asset Management Blomtuin Depot, EAM Boardroom, First floor, 3 B",https://www.etenders.gov.za/home/Download/?blobName=a4ada609-942b-4d43-a309-5dd8da9b47e8.pdf&downloadedFileName=33Q.2023.24+advert+pages.pdf
Supplies: Electrical Equipment,The supply and delivery of electrical arc flash personal protective equipment for electrical personnel.,25/08/2023,INF/CEE10/2023,Solplaatje Local Municipality,Request for Bid(Open-Tender),Northern Cape,25.08.2023,26.09.2023,"SOL PLAATJE MUNICIPAL COMPLEX STORES, ABATTOIR ROAD - ASHBURNHAM - KIMBERLEY  - 8301",Refer to the tender document. Local Content is applicable - 100%.,Fuad Aysen,faysen@solplaatje.org.za,053-830-6403,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=962073b8-cc70-43a2-a775-edfcc5ef06ca.pdf&downloadedFileName=INF+CEE10+2023++BI-ENNIAL+CONTRACT+FOR+THE+SUPPLY+AND+DELIVERY+OF+ELECTRICAL+ARC+FLASH+PERSONAL+PROTECTIVE+EQUIPMENT.pdf
Supplies: General,Establishment of a panel of service providers to supply and deliver learner and educator furniture in the gauteng department of education institutions for a fixed term period of three (3) years,25/08/2023,GT/GDE/067/2023,Gauteng - Education,Request for Bid(Open-Tender),Gauteng,25.08.2023,22.09.2023,17 Simmonds Street - Marshalltown  - Johannesburg - 2000,N/A,Procurement Official,GdeProcurement6@gauteng.gov.za,011-355-1260,011-355-1260,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=a0436994-6f13-4881-9783-43cb9d058cf8.pdf&downloadedFileName=GT+GDE+067+2023+SECTION+1A...pdf
Advertising and market research,The provision of outdoor advertising services: litter bins (re-advert),25/08/2023,DEV/LED01/22,Solplaatje Local Municipality,Request for Bid(Open-Tender),Northern Cape,25.08.2023,26.09.2023,"SOL PLAATJE MUNICIPAL COMPLEX STORES, ABATTOIR ROAD - ASHBURNHAM - KIMBERLEY  - 8301",Refer to tender document.,S. Mathebula,smathebula@solplaatje.org.za,053-830-6474,N/A,Yes,NO,"Tuesday, 05 September 2023 - 10:00","SCM Stores Emergency Assembly Point,",https://www.etenders.gov.za/home/Download/?blobName=a907f156-5df2-401c-bc35-1f86e0d3d401.pdf&downloadedFileName=DEV+LED01+2022+DESIGN+SUPPLY+ERECTION+AND+MAINTENANCE+OF+CONCRETE+LITTER+BINS+ADVERTISING+SERVICES+%28RE-ADVERT%29.pdf
Services: General,Establishment of a panel of service providers to repair and refurbish learner furniture in the gauteng department of education institutions for a fixed term period of three (3) years,25/08/2023,GT/GDE/068/2023,Gauteng - Education,Request for Bid(Open-Tender),Gauteng,25.08.2023,22.09.2023,17 Simmonds Street - Marshalltown  - Johannesburg - 2000,N/A,Procurement Official,GdeProcurement6@gauteng.gov.za,011-355-1260,011-355-1260,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=e67d511d-407f-43b8-a95a-124498df4985.pdf&downloadedFileName=GT+GDE+068+2023+SECTION.pdf
Services: Professional,The development of the business case for a state-owned pharmaceutical company for the gauteng provincial government,25/08/2023,GT/GPT/059/2023,Gauteng - Provincial Treasury,Request for Bid(Open-Tender),Gauteng,25.08.2023,15.09.2023,75 Fox Street Imbumba House -  Marshalltown - Johannesburg - 2017,"MICROSOFT TEAMS MEETING LINK: 
  https://teams.microsoft.com/l/meetup-join/19%3ameeting_OGFkNDQ1NGYtMzA1Mi00OWJkLWJjMzQtMDZhNThlNWNlYTIx%40thread.v2/0?context=%7b%22Tid%22%3a%22003f7489-c006-4532-90f3-d1feadc0d1af%22%2c%22Oid%22%3a%22e4f8e34e-2761-4ba2-a80f-43ef02075dab%22%7d             MEETING ID: 396 793 168 300    PASSCODE: 9PnMHn",Wilson Mudau,WILSON.MUDAU3@gauteng.gov.za,011-689-6142,011-689-6142,Yes,NO,"Wednesday, 06 September 2023 - 11:00",Microsoft teams,"https://www.etenders.gov.za/home/Download/?blobName=9f52facd-2d49-4c0e-ba6e-0150b904d71f.pdf&downloadedFileName=GT+GPT+059+SECTION+1+2023.pdf, https://www.etenders.gov.za/home/Download/?blobName=19ed66e1-6b58-4a49-8f21-d648b81fd3bf.pdf&downloadedFileName=GT+GPT+059+SECTION+2+2023.pdf"
Services: Professional,"Decommissioning, refurbishment and establishment of a digital radio station inclusive of post installation monitoring for a period of 4 months.",25/08/2023,GT/GDeG/069/2023,Gauteng - Gauteng Department of e-Government,Request for Bid(Open-Tender),Gauteng,25.08.2023,15.09.2023,75 Fox Street Imbumba House -  Marshalltown - Johannesburg - 2017,N/A,Sithembiso Ndlovu,sithembiso.ndlovu@gauteng.gov.za,011-689-6950,011-689-6950,Yes,Yes,"Friday, 01 September 2023 - 10:00","Imbumba House, 75 Fox Street, Marshalltown, Johannesburg","https://www.etenders.gov.za/home/Download/?blobName=08af71a9-e16d-42d8-877b-1b51932a5222.pdf&downloadedFileName=GT+GDeG+069+2023+SECTION+2.pdf, https://www.etenders.gov.za/home/Download/?blobName=012eab50-21e4-4747-90ec-ad8681aeb0f8.pdf&downloadedFileName=GT+GDeG+069+2023+SECTION+1.pdf"
"Creative, arts and entertainment activities",Development of sports facilities in masakhane (ward 08),25/08/2023,9/3/1/368,Bela Bela Local Municipality,Request for Bid(Open-Tender),Limpopo,25.08.2023,18.09.2023,59 Chris Hani Drive - Bela Bela - Bela Bela - 0480,Contractors who have 4CE or higher CIDB grading,Ms. H. Maswanganyi,Maswanganyih@belabela.gov.za,014-736-8041,014-736-3288,Yes,Yes,"Friday, 01 September 2023 - 10:00","Entrance of the Municipal Office, 59 Chris Hani Drive, Bela-Bela.",https://www.etenders.gov.za/home/Download/?blobName=3ce07486-d189-4170-bc36-fd160e9beb76.pdf&downloadedFileName=BBLM_Masakhane+Sports+Facility_Draft+Tender+Document_15-+Aug-2023_FINAL.pdf
Information and communication,"Appointment of service provider to provide services for migration of on-premises file server to microsoft sharepoint online and 
implementation of microsoft sharepoint online for document management and support",25/08/2023,BS/2023/RFB497,Banking Sector Education and Training Authority,Request for Bid(Open-Tender),National,25.08.2023,22.09.2023,"Block C2, 349 Witch-hazel Avenue, Eco Park Estate - Centurion - Centurion - 0144",N/A,Jackie Kwinika,jackiek@bankseta.org.za,011-805-9661,N/A,Yes,NO,"Friday, 01 September 2023 - 11:00",Virtual,https://www.etenders.gov.za/home/Download/?blobName=b5194ba1-f4dc-43d9-91b2-3e8bced70039.zip&downloadedFileName=Sharepoint+tender+-+TOR+%282%29.zip
Services: Professional,The appointment of a pre-qualified list of communication services to gauteng provincial government (gpg) departments and entities for a fixed period of three (3) years,25/08/2023,GT/OOP/066/2023,Gauteng - Officer of the Premier,Request for Bid(Open-Tender),Gauteng,25.08.2023,15.09.2023,"Gauteng Provincial Treasury, Imbumba House, 75 Fox Street, - Marshalltown - Johannesburg - 2001",N/A,Ms Roshini Amrani,Roshini.amrani@gauteng.gov.za,082-815-8773,082-815-8773,Yes,NO,"Friday, 01 September 2023 - 10:00",https://teams.microsoft.com/l/meetup-join/19%3ameeting_YTQxYmZiZDctMTc2MC00NGRlLThlZmYtNzYxMGFlNjA2Y,https://www.etenders.gov.za/home/Download/?blobName=5ce460a9-6710-4600-b73f-2a8c5847c576.pdf&downloadedFileName=Tender+Document+GT+OOP+066+2023.pdf
